"tip","ass_bid","ass_tid"
"cnt","1212","13"
"cnt","1212","27"
"obj","1200","164"
"obj","1200","359"
"obj","1200","943"
"obj","1079","638"
"obj","1079","448"
"obj","1079","367"
"obj","1079","858"
"obj","1079","1078"
"obj","1079","640"
"cnt","1211","13"
"cnt","1211","27"
"obj","1079","655"
"obj","940","74"
"obj","940","347"
"obj","940","885"
"obj","940","439"
"obj","940","72"
"obj","940","1062"
"obj","940","65"
"obj","940","482"
"obj","940","71"
"obj","940","479"
"obj","906","452"
"obj","906","644"
"obj","906","125"
"cnt","906","6"
"cnt","906","11"
"cnt","906","13"
"cnt","906","14"
"obj","856","3"
"obj","902","597"
"obj","902","655"
"obj","902","1078"
"obj","902","894"
"obj","902","856"
"obj","902","903"
"obj","484","112"
"obj","484","438"
"obj","484","28"
"obj","484","1053"
"obj","484","604"
"obj","484","820"
"obj","112","438"
"obj","112","552"
"obj","112","484"
"obj","112","28"
"obj","112","1053"
"obj","112","604"
"obj","621","26"
"obj","621","599"
"obj","621","609"
"obj","621","564"
"obj","621","112"
"obj","621","438"
"obj","621","820"
"obj","621","882"
"obj","621","874"
"obj","621","1053"
"obj","621","604"
"obj","111","609"
"obj","111","599"
"obj","111","26"
"obj","817","943"
